Customer_id,Customer Name (Scrubbed),Transaction ID,Purchase Date,Status,Transaction Type,Amount
100001,"Butt, James",OX12YF2MM3,10/26/2017,Posted,Meals and Incidental Expenses,63
100001,"Butt, James",FA7ZXCTQX5,10/30/2017,Posted,Breakfast,10.8
100001,"Butt, James",1NF8HR5YJ2,10/30/2017,Posted,Dinner,5.29
100001,"Butt, James",1OPFY2BCD3,10/30/2017,Posted,Ground Transportation,355.07
100001,"Butt, James",C05NMVS5QK,10/31/2017,Posted,Breakfast,8
100001,"Butt, James",02QE6E4N9N,10/31/2017,Posted,Dinner,61.74
100001,"Butt, James",KCCAM9LXIN,10/31/2017,Posted,Ground Transportation,42.99
100001,"Butt, James",L3IZK6GGQD,11/1/2017,Posted,Breakfast,9.82
100001,"Butt, James",BSZQVELE92,11/1/2017,Posted,Dinner,51.6
100001,"Butt, James",C04IEFGWDS,11/1/2017,Posted,Ground Transportation,8.72
100001,"Butt, James",LWKNIC6PH0,11/2/2017,Posted,Breakfast,2.3
100001,"Butt, James",MU0YKGDGJY,11/2/2017,Posted,Dinner,45.18
100001,"Butt, James",LXQJJWYDP6,11/2/2017,Posted,Ground Transportation,24.41
100001,"Butt, James",HNBVAFNMQH,11/2/2017,Posted,Hotel/Lodging,788.67
100001,"Butt, James",TQ3OVUJJE3,11/6/2017,Posted,Breakfast,13.95
100001,"Butt, James",MK3ND9LYBT,11/6/2017,Posted,Dinner,26.79
100001,"Butt, James",EBPZCOCAI2,11/6/2017,Posted,Ground Transportation,354.06
100001,"Butt, James",6X4DGU8O6G,11/7/2017,Posted,Breakfast,6.82
100001,"Butt, James",L414T77CKV,11/7/2017,Posted,Dinner,25.93
100001,"Butt, James",07ZA447MZA,11/7/2017,Posted,Ground Transportation,39.92
100001,"Butt, James",RUVW6D9CXY,11/8/2017,Posted,Dinner,26.79
100001,"Butt, James",E3W192GJGY,11/8/2017,Posted,Ground Transportation,28.03
100001,"Butt, James",RPQGOZLH3N,11/9/2017,Posted,Breakfast,10.67
100001,"Butt, James",VPO04EZWSH,11/9/2017,Posted,Dinner,34.59
100001,"Butt, James",BWQ97EF4NE,11/9/2017,Posted,Ground Transportation,44.12
100001,"Butt, James",5VO4UAAIZ4,11/9/2017,Posted,Hotel/Lodging,788.67
100001,"Butt, James",NXEFMIS0G9,11/14/2017,Pending,Breakfast,9.18
100001,"Butt, James",93T2QJZBL0,11/14/2017,Pending,Dinner,40.35
100001,"Butt, James",TTQZCMYLNB,11/14/2017,Pending,Ground Transportation,343.94
100001,"Butt, James",3Q8HFZSXS0,11/14/2017,Pending,Meals and Incidental Expenses,7
100001,"Butt, James",QHTVZK1LK1,11/15/2017,Pending,Breakfast,20.99
100001,"Butt, James",XJIDAJI9OL,11/15/2017,Pending,Dinner,32.63
100001,"Butt, James",RJZT1CDVNG,11/15/2017,Pending,Ground Transportation,21.86
100001,"Butt, James",TIISARFHCP,11/16/2017,Pending,Breakfast,10.62
100001,"Butt, James",PIV1KOX09R,11/16/2017,Pending,Dinner,57.24
100001,"Butt, James",8T5CR4453X,11/16/2017,Pending,Ground Transportation,47.47
100001,"Butt, James",43NKXKSDKD,11/16/2017,Pending,Hotel/Lodging,525.78
100002,"Darakjy, Josephine",4CMXIMAJU0,10/26/2017,Pending,Ground Transportation,7
100002,"Darakjy, Josephine",IMDG0F4GPX,10/30/2017,Pending,Breakfast,3.52
100002,"Darakjy, Josephine",UGJ8F5XF45,10/30/2017,Pending,Dinner,44.5
100002,"Darakjy, Josephine",CQ2AKPJDCM,10/30/2017,Pending,Ground Transportation,345.86
100002,"Darakjy, Josephine",Z99DSHY7KX,10/31/2017,Pending,Breakfast,8.49
100002,"Darakjy, Josephine",JZBSIXJAK2,10/31/2017,Pending,Dinner,33.55
100002,"Darakjy, Josephine",7MJG6VVW3J,11/1/2017,Pending,Breakfast,7.9
100002,"Darakjy, Josephine",65NXBTMC2C,11/1/2017,Pending,Ground Transportation,37.48
100002,"Darakjy, Josephine",FJJT53WF2O,11/1/2017,Pending,Hotel/Lodging,525.78
100002,"Darakjy, Josephine",NR41GIQH5M,10/26/2017,Pending,Ground Transportation,7
100002,"Darakjy, Josephine",Z1RLWCBTM7,11/7/2017,Pending,Breakfast,10
100002,"Darakjy, Josephine",S3CN4HGS9Y,11/7/2017,Pending,Dinner,29.15
100002,"Darakjy, Josephine",84NCV92JU3,11/7/2017,Pending,Ground Transportation,431.01
